DEPTH,CALI,DENC,DENS,DTC,DTS,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1803.02,12.3934,-0.0177,2.2294,,187.6647,203.1358,211.145,53.9977,0.3316,2.8214,1.4164,1.2265,1.0491,87.5
1803.1724,12.3497,-0.0186,2.2512,,188.7044,203.4577,211.4453,50.3032,0.3228,2.8247,1.582,1.5918,1.1543,86.0625
1803.3248,12.3449,-0.0201,2.2509,,188.942,202.9522,211.4453,52.6545,0.3108,3.1271,1.4839,1.52,1.0885,87.125
1803.4772,12.3456,-0.0167,2.2307,,189.0644,202.9522,209.0574,50.0101,0.3355,3.8412,1.2563,0.7186,0.9538,87.0625
1803.6296,12.1695,-0.0149,2.2133,,189.6934,202.9522,207.1985,46.7051,0.348,4.7954,1.1738,0.7024,0.8989,85.5
1803.782,12.3932,-0.0102,2.2111,,189.3226,203.0789,206.893,28.0719,0.3764,5.5698,1.0363,0.7332,0.8049,86.25
1803.9344,12.6527,-0.0097,2.2481,,189.4596,202.1308,206.6235,45.6861,0.3637,5.4458,1.0545,0.754,0.8122,86.25
1804.0868,12.5035,-0.0143,2.2714,,189.7519,202.4516,206.8993,46.3407,0.3463,5.2936,1.076,1.4416,0.8325,85.125
1804.2392,12.3216,-0.0201,2.3002,,189.5124,202.7724,208.7317,46.0555,0.3256,4.7237,1.1204,1.4392,0.8656,84.875
1804.3916,12.6493,-0.0183,2.2983,,189.8606,202.1308,208.1161,51.6102,0.3208,4.2163,1.1912,1.0498,0.9235,84.0625
1804.544,12.1253,-0.0214,2.277,,187.1167,202.9035,209.0777,53.7566,0.3378,4.3354,1.2659,0.9913,0.982,84.4375
1804.6964,12.2923,-0.0133,2.2632,,189.6826,203.2651,209.0777,50.0358,0.3783,4.0751,1.3763,1.2174,1.0639,82.25
1804.8488,12.4606,-0.0086,2.2609,,189.9163,202.9435,213.1093,55.3536,0.4096,3.9853,1.5161,1.3591,1.1522,81.8125
1805.0012,12.098,-0.0032,2.2791,,187.3792,203.5248,213.3043,51.5883,0.4061,3.4441,1.7139,1.3138,1.3143,80.8125
1805.1536,12.8008,-0.0054,2.2848,61.866,189.8251,202.5603,209.3402,54.0245,0.3734,3.422,1.7225,1.4,1.3333,81.1875
1805.306,12.4968,-0.0078,2.2854,61.5758,189.706,202.8818,209.5324,50.9323,0.3575,3.5014,1.7188,1.498,1.3321,80.75
1805.4584,12.8596,-0.0108,2.2783,63.5192,189.9765,202.5603,208.9986,54.3155,0.3457,3.6648,1.9156,2.0978,1.501,80.875
1805.6108,12.363,-0.0083,2.2917,63.4952,,203.2033,210.4389,52.0781,0.3422,3.774,2.0733,2.1077,1.6217,80.625
1805.7632,12.5286,-0.0124,2.3026,62.4161,,202.8818,210.1286,52.5459,0.3266,3.6045,2.0836,1.9402,1.6197,81.0625
1805.9156,12.5258,-0.0119,2.3072,66.4445,,202.8818,210.1286,53.913,0.3218,3.3565,2.0988,1.914,1.6565,81.0625
1806.068,12.7416,-0.0193,2.3063,67.1284,,202.5603,209.8183,53.4042,0.3212,3.2541,1.796,2.1949,1.4404,80.875
1806.2204,12.3583,-0.0209,2.3035,64.9055,,203.2033,210.4389,52.9118,0.3072,3.3364,1.773,2.2706,1.423,81.5
1806.3728,12.7034,-0.0207,2.3074,63.2813,,202.5603,209.8183,52.5429,0.3079,3.3686,1.7408,1.3855,1.4014,80.4375
1806.5252,12.7595,-0.0152,2.2907,61.3231,,202.5603,209.8183,52.1751,0.3066,3.4184,1.8201,1.3271,1.4707,82.5
1806.6776,12.7974,-0.0165,2.282,62.2609,188.2177,202.5603,209.8183,50.121,0.3376,3.4056,2.023,1.2241,1.634,82.0625
1806.83,12.7449,-0.0112,2.305,63.2399,188.3576,202.5603,209.8183,51.7573,0.3518,3.975,2.0406,1.2287,1.6371,81.875
1806.9824,12.6107,-0.0075,2.3487,98.3372,188.8101,202.8818,210.1286,50.4864,0.3578,3.8805,1.9869,1.338,1.6177,82.4375
1807.1348,12.5721,-0.0065,2.3545,97.5306,185.9077,202.8818,210.1286,48.1402,0.3429,3.5621,1.7982,1.4417,1.5293,81.875
1807.2872,12.6045,-0.0103,2.3172,80.5184,175.894,202.8818,210.1286,54.3119,0.3494,3.043,1.7633,1.4538,1.52,81.875
1807.4396,12.6992,-0.0144,2.2867,80.6521,174.7192,202.5603,209.8183,54.0737,0.3544,3.1061,1.6918,1.7235,1.4862,81.6875
1807.592,12.3979,-0.0105,2.2795,78.9856,177.7946,202.8818,210.1286,58.8932,0.3561,3.1977,1.8191,1.8079,1.6222,81.25
1807.7444,12.2101,-0.0088,2.291,96.5827,185.7752,203.6176,210.4389,59.2957,0.3589,3.8787,1.9034,1.5155,1.6927,82.0
1807.8968,12.3823,-0.0087,2.3155,85.345,189.6205,203.2955,210.1286,58.236,0.3501,4.7991,1.9261,1.5865,1.724,81.4375
1808.0492,12.3617,-0.0055,2.3758,102.93,185.1743,203.6176,210.4389,59.2719,0.3762,6.4142,1.6531,2.1809,1.498,82.125
1808.2016,12.5777,-0.0017,2.4243,107.8232,191.0106,203.1026,210.1286,58.8681,0.3683,6.0462,1.6185,1.8426,1.4753,82.75
1808.354,12.2455,-0.0041,2.4127,106.3843,194.2234,203.5833,210.4389,54.5896,0.3803,5.5489,1.4618,1.5022,1.3311,82.0625
1808.5064,12.487,-0.0097,2.4048,98.8497,193.6962,203.1298,210.1286,50.8348,0.357,5.2548,1.7035,1.5735,1.5537,82.125
1808.6588,12.6873,-0.0081,2.4814,97.7808,194.2576,202.7801,209.8183,49.3769,0.2901,5.3678,1.7801,32.6409,1.6071,81.375
1808.8112,12.9145,-0.0029,2.6186,117.0865,193.5825,201.0982,209.508,45.4013,0.2138,5.1452,2.128,37.0905,2.0533,82.125
1808.9636,12.4567,0.0037,2.752,115.3307,190.325,201.7376,213.407,39.2559,0.1512,5.2656,13.5841,46.7673,11.0327,82.5
1809.116,12.554,-0.0049,2.7678,113.4453,187.726,201.7376,213.407,39.5638,0.1374,5.232,41.4136,51.9992,34.286,81.0625
1809.2684,12.5603,-0.0024,2.756,114.8698,187.814,201.7376,209.4201,38.3148,0.1312,5.0243,41.2689,51.9618,34.2599,81.5625
1809.4208,12.5463,-0.0027,2.6851,113.268,190.2647,201.7376,209.2166,39.2428,0.1315,5.0917,16.0402,65.2487,11.8659,80.4375
1809.5732,12.5299,-0.0042,2.6166,112.741,192.9426,203.479,212.0547,41.0526,0.1409,5.3224,2.9625,63.6483,2.6053,81.5625
1809.7256,12.7285,-0.0048,2.522,107.8167,191.7029,203.1675,207.693,41.4055,0.1921,4.8119,2.4211,1.2673,2.1661,80.0625
1809.878,12.5061,-0.0059,2.4237,102.8605,184.1046,203.479,210.0949,50.7945,0.2602,4.4198,1.7645,1.3165,1.6104,80.375
1810.0304,12.2535,-0.0128,2.3276,102.7136,195.2949,203.7904,210.4052,63.1371,0.3219,3.9643,1.5092,1.8414,1.3836,80.4375
1810.1828,12.551,-0.0169,2.279,102.4058,196.9419,203.479,210.0949,69.4497,0.3485,3.9697,1.5357,1.9215,1.3908,79.9375
1810.3352,12.2101,-0.0162,2.265,101.0454,195.9353,203.7904,210.4052,76.9862,0.3643,3.8939,1.9683,2.6939,1.7245,80.9375
1810.4876,12.3596,-0.015,2.2667,101.7453,198.5983,203.7904,210.1506,74.3721,0.3755,3.8167,2.0295,2.7202,1.7565,79.8125
1810.64,12.4007,-0.0106,2.2579,105.8692,196.7838,203.479,209.8408,77.1304,0.3698,3.784,2.012,1.9185,1.7354,78.875
1810.7924,12.6277,-0.0034,2.2534,108.5986,194.9692,203.1675,209.5309,76.1115,0.353,3.6435,1.8285,1.9534,1.5797,80.4375
1810.9448,12.4975,0.004,2.2504,109.6706,196.419,203.479,209.1206,77.0848,0.343,3.5315,1.6542,1.5686,1.4312,79.5
1811.0972,12.372,0.006,2.2607,115.5028,195.1053,203.7904,209.4294,71.743,0.3552,3.6348,1.631,1.6592,1.4076,79.1875
1811.2496,12.7943,0.0072,2.2765,116.1253,197.051,203.1675,208.8118,71.2501,0.3529,3.804,1.6174,1.694,1.3969,80.75
1811.402,12.8411,0.0014,2.2768,115.9765,197.4789,203.1675,208.8118,70.5391,0.3609,3.7587,1.6883,1.4306,1.4097,80.9375
1811.5544,12.9638,-0.0085,2.2713,113.6921,193.9801,202.8561,208.503,73.9823,0.3595,3.5174,1.6554,1.4018,1.3878,80.9375
1811.7068,12.4844,-0.0172,2.2585,111.1634,194.4441,203.479,209.1206,74.254,0.3757,3.4641,1.5772,1.4611,1.3221,83.0
1811.8592,12.4421,-0.0168,2.2337,113.4286,190.9897,203.479,209.3611,67.424,0.3805,3.3904,1.4151,1.4147,1.1913,82.3125
