DEPTH,AT20,AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL
412.8016,,,,,,,,,,,,,
412.954,,,,,,,,,,,,,
413.1064,,,,,,,,,,,,,
413.2588,,,,,,,,,,,,,
413.4112,,,,,,,,,,,,,
413.5636,,,,,,,,,,,,,
413.716,,,,,,,,,,,,,
413.8684,,,,,,,,,,,,,
414.0208,,,,,,,,,,,,,
414.1732,,,,,,,,,,,,,
414.3256,,,,,,,,,,,,,
414.478,,,,,,,,,,,,,
414.6304,,,,,,,,,,,,,
414.7828,,,,,,,,,,,,,
414.9352,,,,,,,,,,,,,
415.0876,,,,,,,,,,,,,
415.24,,,,,,,,,,,,,
415.3924,,,,,,,,,,,,,
415.5448,,,,,,,,,,,,,
415.6972,,,,,,,,,,,,,
415.8496,,,,,,,,,,,,,
416.002,,,,,,,,,,,,,
416.1544,,,,,,,,,,,,,
416.3068,,,,,,,,,,,,,
416.4592,,,,,,,,,,,,,
416.6116,,,,,,,,,,,,,
416.764,,,,,,,,,,,,,
416.9164,,,,,,,,,,,,,
417.0688,,,,,,,,,,,,,
417.2212,,,,,,,,,,,,,
417.3736,,,,,,,,,,,,,
417.526,,,,,,,,,,,,,
417.6784,,,,,,,,,,,,,
417.8308,,,,,,,,,,,,,
417.9832,,,,,,,,,,,,,
418.1356,,,,,,,,,,,,,
418.288,,,,,,,,,,,,,
418.4404,,,,,,,,,,,,,
418.5928,,,,,,,,,,,,,
418.7452,,,,,,,,,,,,,
418.8976,,,,,,,,,,,,,
419.05,,,,,,,,,,,,,
419.2024,,,,,,,,,,,,,
419.3548,,,,,,,,,,,,,
419.5072,,,,,,,,,,,,,
419.6596,,,,,,,,,,,,,
419.812,,,,,,,,,,,,,
419.9644,,,,,,,,,,,,,
420.1168,,,,,,,,,,,,,
420.2692,,,,,,,,,,,,,
420.4216,,,,,,,,,,,,,
420.574,,,,,,,,,,,,,
420.7264,,,,,,,,,,,,,
420.8788,,,,,,,,,,,,,
421.0312,,,,,,,,,,,,,
421.1836,,,,,,,,,,,,,
421.336,,,,,,,,,,,,,
421.4884,,,,,,,,,,,,,
421.6408,,,,,,,,,,,,,
421.7932,,,,,,,,,,,,,
421.9456,,,,,,,,,,,,,
422.098,,,,,,,,,,,,,
422.2504,,,,,,,,,,,,,
422.4028,,,,,,,,,,,,,
422.5552,,,,,,,,,,,,,
422.7076,,,,,,,,,,,,,
422.86,,,,,,,,,,,,,
423.0124,,,,,,,,,,,,,
423.1648,,,,,,,,,,,,,
423.3172,,,,,,,,,,,,,
423.4696,,,,,,,,,,,,,
423.622,,,,,,,,,,,,,
423.7744,,,,,,,,,,,,,
423.9268,,,,,,,,,,,,,
424.0792,,,,,,,,,,,,,
424.2316,,,,,,,,,,,,,
424.384,,,,,,,,,,,,,
424.5364,,,,,,,,,,,,,
424.6888,,,,,,,,,,,,,
424.8412,,,,,,,,,,,,,
424.9936,,,,,,,,,,,,,
425.146,,,,,,,,,,,,,
425.2984,,,,,,,,,,,,,
425.4508,,,,,,,,,,,,,
425.6032,,,,,,,,,,,,,
425.7556,,,,,,,,,,,,,
425.908,,,,,,,,,,,,,
426.0604,,,,,,,,,,,,,
426.2128,,,,,,,,,,,,,
426.3652,,,,,,,,,,,,,
426.5176,,,,,,,,,,,,,
426.67,,,,,,,,,,,,,
426.8224,,,,,,,,,,,,,
426.9748,,,,,,,,,,,,,
427.1272,,,,,,,,,,,,,
427.2796,,,,,,,,,,,,,
427.432,,,,,,,,,,,,,
427.5844,,,,,,,,,,,,,
427.7368,,,,,,,,,,,,,
427.8892,,,,,,,,,,,,,
428.0416,,,,,,,,,,,,,
428.194,,,,,,,,,,,,,
428.3464,,,,,,,,,,,,,
428.4988,,,,,,,,,,,,,
428.6512,,,,,,,,,,,,,
428.8036,,,,,,,,,,,,,
428.956,,,,,,,,,,,,,
429.1084,,,,,,,,,,,,,
429.2608,,,,,,,,,,,,,
429.4132,,,,,,,,,,,,,
429.5656,,,,,,,,,,,,,
429.718,,,,,,,,,,,,,
429.8704,,,,,,,,,,,,,
430.0228,,,,,,,,,,,,,
430.1752,,,,,,,,,,,,,
430.3276,,,,,,,,,,,,,
430.48,,,,,,,,,,,,,
430.6324,,,,,,,,,,,,,
430.7848,,,,,,,,,,,,,
430.9372,,,,,,,,,,,,,
431.0896,,,,,,,,,,,,,
431.242,,,,,,,,,,,,,
431.3944,,,,,,,,,,,,,
431.5468,,,,,,,,,,,,,
431.6992,,,,,,,,,,,,,
431.8516,,,,,,,,,,,,,
432.004,,,,,,,,,,,,,
432.1564,,,,,,,,,,,,,
432.3088,,,,,,,,,,,,,
432.4612,,,,,,,,,,,,,
432.6136,,,,,,,,,,,,,
432.766,,,,,,,,,,,,,
432.9184,,,,,,,,,,,,,
433.0708,,,,,,,,,,,,,
433.2232,,,,,,,,,,,,,
433.3756,,,,,,,,,,,,,
433.528,,,,,,,,,,,,,
433.6804,,,,,,,,,,,,,
433.8328,,,,,,,,,,,,,
433.9852,,,,,,,,,,,,,
