DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RACH,RDEP,RLA2,RLA4,RMED,RMIC,RPCH,RSHAL,SP
1590.4968,13.4809,0.0035,2.1851,115.84,249.842,70.508,0.4038,2.5155,1.7074,1.9245,1.8103,1.9245,1.9245,1.754,1.4621,1.948,36.0154
1590.6492,13.5484,-0.0039,2.1644,116.253,258.435,74.1025,0.4245,2.5912,1.6568,1.6877,1.7015,1.6877,1.6877,1.275,1.4001,1.8373,35.0514
1590.8016,13.5559,-0.0072,2.1288,118.323,266.251,75.2359,0.4509,2.6987,1.6229,1.6452,1.672,1.6452,1.6452,1.116,1.3854,1.771,34.3815
1590.954,13.4735,-0.0068,2.1007,119.583,269.189,74.6578,0.4746,2.7602,1.6236,1.6629,1.703,1.6629,1.6629,1.0969,1.3918,1.748,33.7415
1591.1064,13.5109,-0.005,2.1201,123.196,271.081,73.9215,0.4899,2.8143,1.6431,1.8147,1.8838,1.8147,1.8147,1.2611,1.4508,1.8812,33.5396
1591.2588,13.5259,-0.0033,2.1677,124.498,268.681,73.3928,0.4748,2.7448,1.6637,1.9736,2.0163,1.9736,1.9736,1.4505,1.5069,2.0852,33.8365
1591.4112,13.5446,-0.0029,2.1135,125.635,263.548,75.1571,0.4661,2.7193,1.6727,2.0317,2.0151,2.0317,2.0317,1.5738,1.5191,2.2432,34.4431
1591.5636,13.6233,-0.0029,2.1403,123.707,258.075,72.934,0.4585,2.7693,1.6957,2.0426,2.029,2.0426,2.0426,1.5113,1.577,2.2514,34.5458
1591.716,13.7581,-0.0029,2.1643,120.365,254.93,73.1712,0.458,2.907,1.7135,2.2493,2.1928,2.2493,2.2493,1.9765,1.669,2.4564,34.8521
1591.8684,13.7806,-0.0028,2.193,119.647,212.846,70.8678,0.4638,3.0865,1.7285,2.1486,2.1437,2.1486,2.1486,2.0663,1.6857,2.4563,35.4679
1592.0208,13.8031,-0.0013,2.1391,117.936,211.818,71.8205,0.4699,3.1803,1.77,2.0375,1.9902,2.0375,2.0375,1.5721,1.6432,2.3559,37.081
1592.1732,13.6795,0.0023,2.1322,113.428,222.376,68.8404,0.4359,3.2278,1.768,2.0691,2.1096,2.0691,2.0691,1.088,1.8284,2.2935,38.8533
1592.3256,13.2937,0.0179,2.0291,112.144,215.434,69.2993,0.4114,3.1812,1.7161,2.7441,2.6527,2.7441,2.7441,1.772,2.1165,2.7226,39.5265
1592.478,13.0502,0.0413,2.5385,112.136,219.938,70.2144,0.3956,3.0147,1.693,1.9968,1.8273,1.9968,1.9968,6.4128,2.0141,1.6799,40.0456
1592.6304,13.0015,0.0435,2.4688,111.445,238.581,72.6652,0.4128,2.8692,1.6935,1.6469,1.5627,1.6469,1.6469,1.9963,1.6669,1.5552,41.1256
1592.7828,13.039,0.0266,2.199,110.911,250.036,74.8074,0.43,2.7826,1.6432,1.5404,1.5215,1.5404,1.5404,1.0465,1.4742,1.5223,41.8114
1592.9352,13.0989,0.002,2.1489,113.065,257.957,77.0416,0.4289,2.7039,1.5939,1.6879,1.5818,1.6879,1.6879,1.1179,1.4415,1.5568,41.9353
1593.0876,13.1289,-0.0036,2.0805,115.68,267.286,74.6901,0.4193,2.6699,1.5941,1.7068,1.6535,1.7068,1.7068,1.1178,1.4394,1.6286,40.7646
1593.24,13.1513,-0.0035,2.1318,115.701,267.391,76.2761,0.4087,2.659,1.5996,1.6985,1.6457,1.6985,1.6985,1.1191,1.4443,1.6099,39.692
1593.3924,13.2562,-0.004,2.149,116.541,264.65,76.8049,0.4063,2.6699,1.6103,1.684,1.6417,1.684,1.684,1.1384,1.45,1.5411,38.6736
1593.5448,13.2562,-0.0005,2.1273,119.851,265.32,79.1649,0.4081,2.757,1.6247,1.722,1.6588,1.722,1.722,1.1207,1.449,1.6422,37.8074
1593.6972,13.3087,-0.0004,2.0853,120.617,265.43,77.6829,0.4141,2.8713,1.6642,1.7899,1.7012,1.7899,1.7899,1.101,1.4837,1.711,37.0527
1593.8496,13.3536,-0.0008,2.1666,120.823,261.685,76.3091,0.4364,3.003,1.7069,1.9784,1.8459,1.9784,1.9784,1.2075,1.557,1.7872,36.5416
1594.002,13.3911,0.0001,2.1443,120.235,258.458,74.0546,0.4568,3.0641,1.7439,2.2936,2.1045,2.2936,2.2129,1.3297,1.6282,2.0376,35.9233
1594.1544,13.4323,0.0002,2.1457,120.115,256.882,74.5702,0.4838,3.0442,1.769,2.4757,2.3072,2.4757,2.3436,1.5995,1.6813,2.3109,35.091
1594.3068,13.3311,0.0057,2.1727,119.956,260.149,72.4777,0.4941,2.9722,1.77,2.492,2.3003,2.492,2.385,1.5061,1.6782,2.32,34.7355
1594.4592,13.2937,0.0073,2.0277,120.4,262.493,74.5927,0.5004,2.8552,1.7716,2.4434,2.194,2.4434,2.3464,1.8994,1.6171,2.1892,34.5216
1594.6116,13.2862,0.0073,2.1706,120.708,264.252,74.9654,0.5114,2.8157,1.7647,2.1468,1.9084,2.1468,2.078,1.555,1.566,1.8989,34.4324
1594.764,13.3199,0.0003,2.1688,120.768,265.427,77.1885,0.5044,2.7976,1.7513,1.9758,1.885,1.9758,1.9758,1.4071,1.5676,1.8789,34.5205
1594.9164,13.2862,0.0003,2.1616,120.455,263.877,78.5185,0.4821,2.7866,1.7476,2.0398,1.9718,2.0398,2.0398,1.3227,1.596,1.9265,34.7332
1595.0688,13.2637,0.0049,2.0992,120.273,262.602,77.824,0.4254,2.7971,1.75,2.1036,2.0182,2.1036,2.1036,1.5474,1.6085,2.0229,34.5352
1595.2212,13.2637,0.0049,2.1544,119.826,260.734,81.9525,0.4119,2.8024,1.7505,2.0296,1.9754,2.0296,2.0296,1.4074,1.6075,1.9493,34.7321
1595.3736,13.2637,0.0,2.1771,119.856,257.743,80.6391,0.4217,2.8538,1.7526,1.9137,1.8766,1.9137,1.9137,1.4187,1.5961,1.8713,35.342
1595.526,13.2525,-0.0029,2.1235,120.0,257.399,80.022,0.4419,2.8618,1.7514,1.8203,1.7293,1.8203,1.8203,1.3562,1.5798,1.6287,36.341
1595.6784,13.0914,-0.005,2.1155,119.895,260.497,77.2513,0.4408,2.8762,1.7516,1.8037,1.7416,1.8037,1.8037,1.2358,1.588,1.6337,36.6423
1595.8308,13.039,-0.006,2.1299,120.309,258.325,77.6831,0.4387,2.8796,1.7581,1.9156,1.7872,1.9156,1.9156,1.2233,1.6114,1.7236,37.0442
1595.9832,13.0839,-0.0049,2.1662,120.772,256.225,78.1017,0.4404,2.8885,1.7584,2.0884,1.8645,2.0884,2.0296,1.317,1.6257,1.7925,37.4462
1596.1356,13.0839,-0.0025,2.1919,119.405,254.503,76.5322,0.4405,2.9306,1.7534,2.1611,1.9782,2.1611,2.1099,1.4712,1.6388,1.8076,37.6468
1596.288,13.1438,0.0001,2.1465,118.233,256.972,76.8935,0.438,2.9661,1.7479,2.1498,1.9129,2.1498,2.0338,1.4639,1.633,1.7192,37.4615
1596.4404,13.0989,0.0006,2.1674,118.632,262.379,77.3217,0.4385,3.0171,1.7351,1.9383,1.8203,1.9383,1.9094,1.2864,1.6029,1.7944,37.0117
1596.5928,13.0614,0.0002,2.1746,119.193,261.404,78.0228,0.4474,3.0621,1.712,2.066,1.9114,2.066,2.0122,1.3317,1.5647,1.8929,36.1557
1596.7452,13.0727,-0.0008,2.1686,119.107,261.306,77.7254,0.4666,2.9726,1.685,2.0837,1.8677,2.0837,2.0505,1.4624,1.5129,1.7876,35.4509
1596.8976,13.039,-0.0007,2.186,119.503,264.308,77.1961,0.4708,2.8969,1.6653,1.9226,1.766,1.9226,1.9226,1.3992,1.4799,1.6441,34.9827
1597.05,13.024,-0.0012,2.1757,119.777,264.135,77.5684,0.4474,2.8557,1.6507,1.8023,1.6934,1.8023,1.8023,1.2665,1.4708,1.668,34.4238
1597.2024,12.994,-0.0031,2.1697,119.582,259.395,76.9752,0.4072,2.8307,1.6254,1.7414,1.6411,1.7414,1.7414,1.138,1.4541,1.5619,33.7184
1597.3548,12.9266,-0.0051,2.1451,119.768,264.43,79.8546,0.3918,2.8687,1.6043,1.6984,1.5796,1.6984,1.6984,1.1452,1.4373,1.5445,33.3154
1597.5072,12.7918,-0.0064,2.1441,119.605,263.318,77.7709,0.3967,2.9551,1.601,1.6437,1.5568,1.6437,1.6437,1.1114,1.4206,1.4818,33.3148
1597.6596,12.758,-0.0072,2.1042,119.456,263.372,78.6978,0.4092,3.0537,1.601,1.7217,1.6171,1.7217,1.7213,1.0087,1.409,1.5194,33.5824
1597.812,12.7843,-0.007,2.199,119.148,256.74,75.6453,0.4154,3.0545,1.601,2.0278,1.6662,2.0278,1.7918,1.1539,1.4318,1.4988,34.2592
1597.9644,12.8255,-0.0074,2.1639,119.536,258.194,76.7614,0.4185,3.0353,1.6036,1.7931,1.6489,1.7931,1.7635,1.2268,1.4607,1.4544,34.7955
1598.1168,12.9266,-0.0075,2.1781,119.343,261.439,78.9061,0.4184,3.067,1.6086,1.8124,1.6644,1.8124,1.8075,1.2098,1.4737,1.5006,35.402
1598.2692,12.9865,-0.0074,2.1607,119.353,258.369,79.5026,0.4208,3.0955,1.6172,1.8752,1.7203,1.8752,1.8519,1.236,1.4893,1.5606,36.0285
1598.4216,13.0689,-0.0064,2.1759,119.649,260.772,81.4624,0.4484,3.1981,1.6272,1.891,1.7202,1.891,1.8779,1.3058,1.5037,1.6925,36.2291
1598.574,13.0952,-0.0033,2.1685,119.047,259.846,79.5293,0.4706,3.27,1.6372,1.8704,1.7041,1.8704,1.8704,1.2549,1.5131,1.6416,37.5011
1598.7264,13.1064,-0.0001,2.1934,118.874,268.361,82.7069,0.4657,3.3721,1.6482,1.8453,1.7347,1.8453,1.8453,1.2935,1.5134,1.6586,38.7026
1598.8788,13.1064,0.0022,2.1719,119.494,268.338,79.5826,0.4304,3.454,1.6587,1.9284,1.8016,1.9284,1.9284,1.4186,1.5136,1.7453,38.9296
1599.0312,13.0839,0.0043,2.1492,120.282,265.24,78.2443,0.4401,3.554,1.6646,1.8752,1.7933,1.8752,1.8752,1.423,1.5134,1.7491,39.2431
1599.1836,13.0539,0.0038,2.1755,119.944,261.739,74.5375,0.4641,3.653,1.6753,1.825,1.7394,1.825,1.825,1.296,1.5105,1.6722,39.4449
1599.336,13.0839,0.0025,2.171,119.844,261.267,76.7687,0.4888,3.6366,1.6866,1.9728,1.806,1.9728,1.9728,1.3623,1.5203,1.8125,39.5432
1599.4884,13.0989,0.0019,2.169,119.63,261.51,76.7569,0.4829,3.4951,1.6978,2.0026,1.8508,2.0026,2.0026,1.4272,1.5409,1.7983,39.7425
1599.6408,13.1289,0.0026,2.1647,119.383,261.693,76.6662,0.4774,3.2994,1.7112,2.06,1.8775,2.06,2.06,1.4811,1.5582,1.8321,39.5395
