DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL
1581.3556,17.5391,0.1024,2.0168,143.8573,238.2788,82.0131,0.5332,4.5696,1.5443,0.9921,1.3099
1581.508,17.3551,0.1147,1.9827,142.6744,241.2845,82.3877,0.533,4.7406,1.5446,0.8757,1.3016
1581.6604,17.4329,0.1182,1.9831,142.4855,242.9205,82.1193,0.5358,4.3945,1.5338,0.9516,1.271
1581.8128,17.756,0.1238,1.9938,143.1981,242.2355,80.9737,0.5459,4.1907,1.5104,0.8909,1.2589
1581.9652,17.8533,0.1165,2.0542,137.3178,234.0604,79.9791,0.5373,4.0912,1.5027,0.9611,1.2492
1582.1176,18.1553,0.1007,2.088,138.5556,242.0981,80.2421,0.5154,4.2284,1.5013,0.9275,1.2413
1582.27,18.139,0.0808,2.1036,137.4364,247.1179,80.6043,0.4899,4.3258,1.4376,0.9017,1.2454
1582.4224,18.0065,0.0594,2.0683,138.3287,244.8101,82.0676,0.5194,4.1146,1.5009,0.9001,1.2506
1582.5748,18.0266,0.0432,2.035,144.734,245.5033,79.389,0.5324,4.1672,1.5405,0.9018,1.2741
1582.7272,17.8368,0.0455,2.0489,143.9636,243.867,78.506,0.5124,4.2845,1.526,1.011,1.2815
1582.8796,17.9554,0.0606,2.0801,144.3319,243.004,77.848,0.4989,4.4939,1.5343,1.211,1.259
1583.032,17.9263,0.0673,2.1073,144.4681,239.4929,77.0742,0.4932,4.5723,1.5335,0.9909,1.2802
1583.1844,17.746,0.0661,2.1066,144.8,239.7514,75.5641,0.5198,4.3319,1.6041,0.9706,1.353
1583.3368,17.6617,0.0652,2.0851,145.1332,244.8781,72.6974,0.5435,4.2202,1.6017,1.0186,1.3577
1583.4892,17.8139,0.0771,2.08,145.8726,223.0861,72.666,0.555,4.3264,1.5924,0.9959,1.3522
1583.6416,17.813,0.0743,2.0814,147.613,227.6232,71.3584,0.5573,4.5923,1.5796,1.0805,1.3311
1583.794,18.0192,0.0863,2.1169,147.4471,230.2935,71.9152,0.5626,4.5422,1.4744,0.9009,1.2555
1583.9464,17.6387,0.0953,2.1082,145.1581,244.9445,71.0563,0.5553,4.3083,1.3999,0.8511,1.1973
1584.0988,18.1801,0.0898,2.0747,143.9037,243.5389,74.0601,0.5609,4.2845,1.3932,0.9724,1.1965
1584.2512,18.4655,0.078,2.0338,144.589,241.2691,74.3614,0.5256,4.3972,1.3845,0.9974,1.1868
1584.4036,18.5495,0.0852,2.0298,144.7907,243.5699,76.3476,0.5362,4.4903,1.3484,1.0088,1.186
1584.556,18.9313,0.0873,2.015,144.3372,238.2357,76.079,0.5485,4.5196,1.3577,1.0714,1.1908
1584.7084,18.9416,0.0952,2.0062,143.7512,238.7778,75.4036,0.561,4.58,1.3295,1.0335,1.1785
1584.8608,18.5178,0.1084,1.9908,144.3393,237.6122,75.2086,0.5739,4.4741,1.3024,0.9366,1.1647
1585.0132,18.5511,0.1232,1.9772,147.6957,235.5952,73.4388,0.5567,4.4164,1.3049,0.9391,1.1777
1585.1656,18.5912,0.1302,1.9706,146.5532,235.6927,75.586,0.5298,4.3728,1.2635,0.8684,1.1749
1585.318,18.4193,0.1374,1.9839,145.7314,229.0468,73.0225,0.5125,4.5577,1.2639,0.9239,1.1716
1585.4704,18.4028,0.1463,2.0012,133.9926,223.6294,72.1318,0.5194,4.5645,1.2066,0.9989,1.1199
1585.6228,18.52,0.1458,2.0055,131.3902,228.3785,69.3172,0.5426,4.7145,1.1377,1.0655,1.0624
1585.7752,18.9667,0.146,2.0671,130.945,232.7662,72.2133,0.5163,5.0709,1.0421,1.3803,0.9952
1585.9276,18.6141,0.1484,2.1412,131.2588,236.2939,71.5487,0.5207,4.6862,0.9814,0.7014,0.9282
1586.08,18.9743,0.1403,2.1578,146.1099,235.618,69.3173,0.5119,4.3494,0.9416,0.7328,0.8891
1586.2324,18.8222,0.1088,2.0579,151.7409,235.4786,64.3296,0.5427,4.1404,0.938,0.6712,0.8911
1586.3848,18.7368,0.0846,1.9692,156.2183,241.5168,63.7595,0.5707,4.537,0.9974,0.7616,0.9423
1586.5372,18.5244,0.0751,1.9202,158.3605,230.0921,61.9294,0.6023,4.3725,1.0973,0.7555,1.0142
1586.6896,18.9251,0.0748,1.9018,166.3437,227.9877,58.926,0.5973,4.0856,1.5235,0.9405,1.394
1586.842,19.0159,0.0755,1.9005,143.9736,231.1657,55.061,0.5799,3.8248,1.9677,1.2898,1.7746
