DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1615.6948,12.1279,-0.0187,2.2281,113.2,264.3337,67.9473,0.4617,3.3969,2.1617,2.2423,1.9277,-242.5
1615.8472,12.1373,-0.0202,2.218,113.7,267.0663,69.5241,0.4385,3.3217,2.0616,1.8433,1.8373,-243.8125
1615.9996,12.1183,-0.0223,2.2041,113.65,264.0522,66.8164,0.417,3.2356,2.0141,1.8271,1.8101,-243.5
1616.152,12.1304,-0.0187,2.2008,112.9,260.3536,66.7971,0.4218,3.1828,2.015,1.7645,1.8073,-241.0625
1616.3044,12.1497,-0.0125,2.2082,113.35,246.8172,66.1518,0.4144,3.2607,2.0404,1.8439,1.836,-237.5625
1616.4568,12.1871,-0.0089,2.2148,113.4,255.5109,65.6137,0.4301,3.3521,2.1075,2.4265,1.9035,-237.375
1616.6092,12.1923,-0.0079,2.2138,114.1,255.9435,66.1329,0.4038,3.342,2.2148,2.1551,1.9754,-239.5
1616.7616,12.2026,-0.0097,2.2078,114.05,257.8401,63.3176,0.3901,3.2098,2.3008,2.0694,2.0505,-240.0
1616.914,12.193,-0.0064,2.2144,114.9,244.4677,64.9701,0.377,3.0456,2.3023,2.4152,2.072,-241.1875
1617.0664,12.2029,-0.0111,2.2213,114.45,239.2543,64.9701,0.3879,3.0891,2.2762,2.3086,2.0535,-243.0625
1617.2188,12.207,-0.0099,2.2278,113.1,238.7029,63.6458,0.4129,3.1031,2.2123,2.121,2.0025,-242.9375
1617.3712,12.1878,-0.0111,2.2252,112.6,236.2762,65.3175,0.4145,3.2222,2.2393,2.1712,2.0259,-242.375
1617.5236,12.1786,-0.015,2.2143,113.4,236.1136,65.4602,0.3967,3.2003,2.2896,2.0944,2.0599,-240.125
1617.676,12.1735,-0.0209,2.201,113.35,237.0217,65.9016,0.3817,3.3068,2.3023,2.2465,2.0801,-237.125
1617.8284,12.1518,-0.0179,2.2062,114.2,234.8453,64.9484,0.43,3.2874,2.3301,2.5431,2.0965,-238.3125
1617.9808,12.1739,-0.0221,2.2006,113.9,238.1714,63.8737,0.4642,3.2862,2.3739,2.6424,2.1222,-237.75
1618.1332,12.1175,-0.0204,2.2117,113.8,242.2057,67.0945,0.4534,3.2204,2.3675,2.1892,2.1288,-239.0
1618.2856,12.102,-0.0161,2.2135,113.5,243.8875,70.5303,0.4096,3.2048,2.3467,2.2762,2.1137,-238.0
1618.438,12.0788,-0.0115,2.2183,113.3,247.6611,68.3608,0.3924,3.2834,2.2676,2.3844,2.0444,-237.6875
1618.5904,12.0771,-0.009,2.2168,112.75,255.1668,66.3584,0.4019,3.2827,2.1919,2.4103,1.9777,-238.75
1618.7428,12.1193,-0.0031,2.2203,113.0,251.8357,66.1447,0.4204,3.2389,2.1713,2.3584,1.9627,-238.0625
1618.8952,12.2438,-0.0031,2.2215,112.9,248.9729,69.0077,0.4083,3.1218,2.1335,2.0789,1.9371,-239.5625
1619.0476,12.2373,-0.0051,2.2156,112.9,252.1061,67.7769,0.4157,3.1469,2.1569,2.1156,1.9494,-241.25
1619.2,12.1376,-0.0063,2.2162,113.45,256.2556,65.1276,0.4117,3.1669,2.2066,2.0412,1.9916,-240.6875
1619.3524,12.133,-0.0077,2.2122,113.7,257.5108,63.0997,0.4184,3.2718,2.2089,2.1469,1.9975,-239.125
1619.5048,12.1547,-0.0118,2.2182,113.3,257.1469,63.947,0.4226,3.2408,2.2064,1.9234,1.9905,-238.6875
1619.6572,12.1545,-0.0105,2.2255,113.55,257.3625,68.1222,0.4357,3.3031,2.2021,1.9962,1.9942,-238.0625
1619.8096,12.1683,-0.0103,2.2288,113.3,257.6702,70.9673,0.421,3.3002,2.1574,2.0203,1.9521,-237.125
1619.962,12.1613,-0.012,2.2209,113.0,257.3396,74.2123,0.4095,3.2251,2.152,2.0222,1.9551,-239.25
1620.1144,12.1666,-0.0137,2.2111,113.55,258.1123,67.989,0.3709,3.2994,2.1191,1.9685,1.9269,-238.125
1620.2668,12.1683,-0.0122,2.2139,113.5,256.2616,66.0868,0.3662,3.2633,2.1042,1.9412,1.9108,-239.0625
1620.4192,12.2129,-0.014,2.2046,113.25,253.5176,66.7784,0.3833,3.3332,2.15,1.9313,1.9568,-240.4375
1620.5716,12.2246,-0.0108,2.2077,112.8,251.3288,68.588,0.4186,3.2227,2.197,2.1046,1.9757,-239.3125
1620.724,12.2251,-0.0124,2.2003,112.8,251.1989,69.5537,0.4343,3.1995,2.2853,2.191,2.0491,-240.6875
1620.8764,12.2084,-0.014,2.2004,112.1,245.5204,68.1265,0.4297,3.2415,2.3335,2.4456,2.0886,-240.0
1621.0288,12.2264,-0.0116,2.2043,112.85,246.0138,68.1045,0.3834,3.2943,2.3335,2.5793,2.0865,-238.6875
1621.1812,12.2258,-0.0127,2.205,112.9,239.2531,67.5303,0.3976,3.3001,2.329,2.3905,2.0829,-237.625
1621.3336,12.2392,-0.0192,2.2009,113.35,232.5938,63.1665,0.3946,3.3355,2.2831,2.4453,2.0532,-236.75
1621.486,12.2432,-0.0209,2.215,114.4,229.7465,63.8076,0.4031,3.5411,2.3168,2.1211,2.0731,-239.875
1621.6384,12.2222,-0.0179,2.2494,113.4,224.3749,59.4908,0.3843,3.8112,2.4369,2.1757,2.1939,-239.9375
1621.7908,12.2851,-0.0168,2.2858,104.3,217.2572,60.7691,0.3803,3.7464,2.5308,2.399,2.2589,-240.6875
1621.9432,12.2367,-0.0161,2.2712,103.2,216.9567,60.5787,0.3943,3.5072,2.5456,3.3162,2.2624,-238.1875
1622.0956,12.2077,-0.0124,2.2395,110.4,225.1732,63.6803,0.4177,3.3823,2.423,2.9708,2.1536,-239.5625
1622.248,12.2258,-0.0075,2.2121,113.6,233.625,64.9939,0.4147,3.3192,2.1711,2.5848,1.9459,-240.1875
1622.4004,12.2406,-0.0061,2.2092,114.1,238.8875,65.1057,0.4216,3.297,2.0128,1.9212,1.7993,-239.4375
1622.5528,12.2392,-0.0044,2.2176,113.45,246.6789,68.2315,0.4026,3.2077,1.9561,1.835,1.744,-239.1875
1622.7052,12.2232,-0.006,2.2209,112.75,251.8056,68.8063,0.407,3.2654,1.9603,1.8055,1.7447,-237.3125
1622.8576,12.1775,-0.0115,2.221,111.35,256.4186,67.9295,0.4144,3.3015,1.9559,1.7078,1.7369,-237.0625
1623.01,12.1786,-0.0171,2.2133,111.6,250.4882,64.6203,0.4256,3.2808,1.9507,1.704,1.7448,-237.0
1623.1624,12.1697,-0.0194,2.2069,113.6,238.1365,63.7852,0.4181,3.2384,1.9652,1.7031,1.7573,-236.1875
1623.3148,12.1897,-0.0212,2.2048,112.05,239.396,63.1882,0.4229,3.2284,2.0149,1.736,1.8005,-235.75
1623.4672,12.1993,-0.0188,2.1999,112.35,242.3859,62.6762,0.4101,3.3045,2.0455,1.9375,1.8199,-236.5625
1623.6196,12.2019,-0.0191,2.194,112.85,244.8475,63.4776,0.3981,3.3719,2.0662,1.9265,1.8409,-235.6875
1623.772,12.2222,-0.0196,2.1878,112.0,242.0689,63.4565,0.3901,3.367,2.1981,1.6336,1.962,-234.4375
1623.9244,12.2084,-0.0155,2.1979,113.0,239.9418,64.9113,0.4091,3.2669,2.2775,1.6773,2.0176,-233.125
1624.0768,12.2503,-0.0158,2.2032,112.1,238.6514,63.1555,0.4356,3.2894,2.3637,2.2866,2.0808,-232.0
1624.2292,12.2419,-0.0189,2.2151,99.0,239.0602,61.3876,0.4293,3.3497,2.3338,2.2283,2.0629,-232.625
1624.3816,12.3039,-0.0181,2.2194,100.45,236.3652,61.2463,0.3932,3.4706,2.3412,2.0598,2.0609,-234.4375
1624.534,12.2645,-0.0182,2.2234,99.3,234.1968,61.8638,0.392,3.3831,2.3545,2.2317,2.071,-236.125
1624.6864,12.3045,-0.0204,2.2157,93.55,235.6758,60.5302,0.3838,3.2885,2.3352,2.1474,2.0565,-234.375
1624.8388,12.2696,-0.017,2.2139,94.7,237.4468,60.3799,0.4221,3.2241,2.2962,1.9488,2.0058,-234.6875
1624.9912,12.2005,-0.0129,2.2143,108.7,239.798,62.5293,0.4252,3.2492,2.2704,1.8379,1.9849,-233.8125
1625.1436,12.1993,-0.0141,2.2092,113.1,249.269,66.3249,0.4209,3.2617,2.1998,1.911,1.9198,-234.5625
1625.296,12.2232,-0.0127,2.2202,118.0,257.6217,65.6394,0.401,3.3895,2.121,1.9278,1.8607,-234.6875
1625.4484,12.2579,-0.0137,2.2246,122.75,261.9148,64.2925,0.3833,3.4345,2.1195,1.9762,1.8517,-233.3125
1625.6008,12.2303,-0.0155,2.2255,113.1,262.942,67.7737,0.395,3.3533,2.049,1.8725,1.7971,-233.125
