DEPTH,CALI,DENC,DENS,DTC,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1785.7988,12.5445,0.0041,2.1505,112.9639,236.4577,230.2636,60.6874,0.358,3.3409,1.1864,1.0779,1.0246,-8.375
1785.9512,12.9414,0.0072,2.1754,113.7982,236.3597,233.7979,63.3901,0.3919,3.4304,1.6268,1.1984,1.3906,-10.375
1786.1036,12.677,0.0131,2.1946,109.788,246.6842,245.9147,76.6177,0.4003,3.4949,1.9887,0.6916,1.7133,-13.0
1786.256,12.7357,0.0297,2.203,113.815,257.3646,245.8116,79.8826,0.4119,3.7349,2.0555,0.5681,1.7724,-14.0625
1786.4084,12.8348,0.0216,2.105,114.3302,262.3598,247.093,77.4999,0.4057,3.9844,1.846,1.5293,1.6281,-16.1875
1786.5608,12.5795,0.0125,1.9681,115.0471,260.3003,247.0272,76.933,0.4465,4.151,1.58,1.5483,1.4214,-17.5625
1786.7132,12.7329,0.0194,1.9307,118.7557,265.9879,252.8725,76.9626,0.4768,4.0937,1.5127,0.2282,1.3623,-18.1875
1786.8656,12.8101,0.0412,1.9662,122.5229,273.3785,269.0137,77.0702,0.4963,3.865,1.5017,0.4377,1.3381,-19.125
1787.018,13.375,0.056,2.0823,122.9152,272.4207,285.1007,79.4919,0.4932,3.685,1.5291,0.5015,1.3757,-19.375
1787.1704,12.7811,0.0432,2.1286,123.3212,272.4997,287.0843,80.8156,0.4618,3.5422,1.6145,0.8165,1.444,-20.3125
1787.3228,13.0443,0.0362,2.1781,126.8549,275.3784,292.6905,79.1155,0.4499,3.4266,1.671,0.9003,1.4812,-20.75
1787.4752,12.6998,0.0345,2.2068,124.8039,278.7134,280.2287,78.3306,0.4251,3.3279,1.7004,1.1119,1.5155,-20.5625
1787.6276,12.8692,0.0145,2.1824,122.5533,278.2567,284.3202,80.101,0.4332,3.3567,1.6909,1.219,1.5227,-21.5625
1787.78,12.7276,0.0217,2.1839,119.9651,277.9142,284.5287,82.4372,0.4431,3.5208,1.6522,1.8728,1.4745,-22.0625
