DEPTH,CALI,DENC,DENS,DTC,DTS_1,DTS_2,GR,NEUT,PEF,RDEP,RMIC,RSHAL
2581.8084,12.2064,0.0961,2.1967,110.8594,244.7295,236.287,90.8895,0.3961,,1.4718,0.7962,1.481
2581.9608,12.2917,0.0866,2.2644,111.5043,238.0387,241.2391,92.1341,0.3853,,1.4448,0.7867,1.4734
2582.1132,12.1698,0.0644,2.2838,111.8218,240.6575,247.9101,92.0203,0.3834,,1.4618,0.8399,1.4825
2582.2656,12.3878,0.0541,2.2593,111.6575,240.2117,250.852,96.2335,0.3783,,1.4518,1.3248,1.4808
2582.418,12.6791,0.0542,2.221,111.4541,240.8953,245.1461,97.3209,0.3838,,1.4289,1.3599,1.4818
2582.5704,12.7426,0.0557,2.2002,111.0932,247.7621,251.8664,94.5323,0.3681,,1.4272,0.8437,1.4716
2582.7228,12.3242,0.0613,2.2212,111.3214,244.7892,256.2604,95.0286,0.377,,1.4149,1.1945,1.4526
2582.8752,12.2809,0.0664,2.2639,111.4921,247.8616,257.2488,91.4065,0.3735,,1.3947,1.4891,1.4331
2583.0276,12.133,0.0565,2.2855,111.1425,249.9406,254.7779,93.3717,0.3731,,1.4255,1.132,1.4442
2583.18,12.14,0.0506,2.2918,110.2673,253.8902,251.5445,94.3479,0.3698,,1.425,1.9456,1.4479
2583.3324,12.27,0.0485,2.2819,109.922,242.6213,250.7186,93.2171,0.3724,,1.4407,3.6976,1.46
2583.4848,12.6777,0.0524,2.2713,109.2085,236.3807,246.5714,93.4108,0.3838,,1.466,3.8899,1.4831
2583.6372,12.5531,0.0632,2.2638,108.912,234.2642,249.3751,93.5351,0.39,,1.4475,2.7078,1.4597
2583.7896,12.5098,0.0812,2.264,109.5632,238.7697,245.1336,93.076,0.3912,,1.41,1.5,1.4305
2583.942,12.0886,0.1035,2.2839,109.8552,230.3628,248.156,95.0699,0.397,,1.4125,1.6628,1.4372
2584.0944,12.4319,0.1157,2.2998,110.7061,243.1544,250.3657,94.8008,0.3826,,1.416,1.1015,1.4389
2584.2468,12.7101,0.12,2.3131,110.6973,245.6961,253.468,96.9558,0.3721,,1.4409,0.9933,1.4573
2584.3992,12.4258,0.1217,2.3095,110.978,239.8388,256.1711,96.4576,0.363,,1.468,1.3876,1.4904
2584.5516,12.1685,0.109,2.2791,111.081,235.8446,257.9966,93.7854,0.3776,,1.4786,1.1927,1.5015
2584.704,12.6069,0.088,2.2387,111.0333,233.9668,249.8521,95.3433,0.3823,,1.4849,0.84,1.5118
2584.8564,12.1102,0.0735,2.2293,109.5698,237.2523,256.3344,91.6901,0.3805,,1.517,0.8013,1.5313
2585.0088,12.4867,0.0641,2.2704,108.0977,235.8303,245.6935,85.9897,0.3732,,1.5514,1.0303,1.5752
2585.1612,12.8748,0.0504,2.3127,107.0888,229.9599,245.6471,89.0255,0.3763,,1.548,1.1694,1.5804
2585.3136,12.8211,0.0539,2.3333,106.7922,237.3452,247.982,93.8537,0.3845,,1.5453,1.2405,1.5826
2585.466,12.2023,0.0486,2.2959,106.9093,244.8982,251.7158,92.8771,0.3812,,1.5382,1.363,1.5755
2585.6184,12.293,0.0481,2.2603,107.0548,237.6085,246.4729,91.8007,0.3764,,1.5019,1.2674,1.5483
2585.7708,11.9627,0.0445,2.2679,108.7909,245.0086,245.221,91.9691,0.3782,,1.4474,0.8232,1.5116
2585.9232,12.4529,0.0594,2.2938,110.065,242.124,255.1873,93.4098,0.3843,,1.4735,0.9423,1.5277
2586.0756,12.5071,0.075,2.3214,110.6828,237.4551,243.2756,97.4141,0.386,,1.4606,1.3952,1.5228
2586.228,12.385,0.0682,2.3191,111.2943,241.6196,253.6435,95.6804,0.3731,,1.4609,1.4138,1.5215
2586.3804,12.2267,0.0452,2.3369,111.3551,249.6812,254.6577,92.1819,0.3592,,1.468,1.9332,1.5343
2586.5328,12.1224,0.0598,2.4131,108.8215,251.9465,248.0295,90.7217,0.3555,,1.5187,2.2126,1.5858
2586.6852,12.1414,0.0624,2.4539,107.4747,243.3691,245.8128,86.1869,0.3615,,1.5447,2.1696,1.6263
2586.8376,12.1427,0.0367,2.4331,106.4456,234.2649,244.3469,83.6317,0.3683,,1.5744,1.9857,1.6501
2586.99,12.1422,0.0295,2.4006,105.6439,233.0257,243.3544,83.7566,0.3686,,1.5623,1.6185,1.6311
2587.1424,12.1545,0.0386,2.3874,105.1547,226.0032,241.3342,86.2262,0.3581,,1.5178,1.313,1.5974
2587.2948,12.1658,0.0357,2.3782,107.0814,226.2571,239.8157,87.6066,0.3758,,1.5238,2.352,1.5926
